# reserved ip blocks
# source https://tools.ietf.org/html/rfc5735
# source https://en.wikipedia.org/wiki/Reserved_IP_addresses
# IPv4 only for the moment being
#
0.0.0.0/8           this
10.0.0.0/8          private
172.16.0.0/12       private
192.0.0.0/24        private
192.168.0.0/16      private
100.64.0.0/10       CGN
127.0.0.0/8         host
169.254.0.0/16      linklocal
192.0.2.0/24        TEST-NET-1
198.51.100.0/24     TEST-NET-2
203.0.113.0/24      TEST-NET-3
198.18.0.0/15       benchmark
192.88.99.0/24      6to4
224.0.0.0/4         multicast
240.0.0.0/4         future
255.255.255.255/32  broadcast
